epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,178.8,0.46893,0.66829,0.60415,0.00277,0.31542,0.85107,0.80999,0.9188,0.85217,0.85107,0.80999,0.91756,0.83148,0.41388,0.66689,0.49222,0.0033,0,0.000876305,0.000876305,0.000876305
71,181.299,0.50584,0.7543,0.60112,0.00327,0.30377,0.88559,0.80596,0.9189,0.8416,0.88559,0.80596,0.91881,0.83741,0.4505,0.61715,0.5017,0.00378,0,0.000872857,0.000872857,0.000872857
72,183.805,0.50077,0.64669,0.56696,0.00284,0.26524,0.82833,0.85557,0.91027,0.83882,0.82833,0.85557,0.90997,0.82268,0.43282,0.67923,0.63956,0.00356,0,0.000869368,0.000869368,0.000869368
73,186.229,0.53042,0.73274,0.62857,0.00308,0.27123,0.91128,0.78936,0.92387,0.85722,0.91128,0.78936,0.9231,0.82207,0.4464,0.90253,0.57794,0.00361,0,0.000865839,0.000865839,0.000865839
74,188.745,0.4874,0.81088,0.58934,0.00279,0.2802,0.80171,0.87484,0.91337,0.83887,0.79369,0.8638,0.90735,0.81273,0.49592,1.01852,0.61356,0.00414,0,0.000862271,0.000862271,0.000862271
75,191.168,0.50551,0.72905,0.62942,0.00283,0.32041,0.78405,0.84351,0.89788,0.83238,0.77544,0.83436,0.89221,0.80898,0.42569,0.9311,0.66092,0.00351,0,0.000858664,0.000858664,0.000858664
76,193.587,0.50978,0.70696,0.55835,0.00297,0.23806,0.79108,0.84984,0.91309,0.85046,0.78881,0.84455,0.90942,0.82978,0.39714,0.86137,0.67018,0.00321,0,0.000855018,0.000855018,0.000855018
77,196.025,0.51972,0.80059,0.62017,0.00303,0.31053,0.87212,0.82093,0.92953,0.84376,0.87212,0.82093,0.9289,0.8343,0.43884,0.81359,0.68529,0.00355,0,0.000851333,0.000851333,0.000851333
78,198.483,0.48254,0.75923,0.56184,0.0029,0.26078,0.86272,0.76341,0.90774,0.85039,0.86272,0.76341,0.90453,0.80724,0.39281,0.85035,0.71683,0.00322,0,0.000847611,0.000847611,0.000847611
79,200.879,0.50196,0.72734,0.53419,0.00288,0.256,0.83817,0.79076,0.9074,0.83882,0.84099,0.77578,0.90458,0.81389,0.436,0.96902,0.65526,0.00361,0,0.000843851,0.000843851,0.000843851
80,203.274,0.49164,0.75792,0.56854,0.00293,0.25199,0.8684,0.83596,0.91167,0.8501,0.86348,0.83179,0.90882,0.81504,0.40645,1.01834,0.56297,0.00345,0,0.000840054,0.000840054,0.000840054
81,205.723,0.4874,0.66169,0.54205,0.00277,0.25733,0.83912,0.83727,0.88897,0.81731,0.83561,0.8386,0.88579,0.79081,0.46801,1.18804,0.53619,0.00388,0,0.00083622,0.00083622,0.00083622
82,208.141,0.51414,0.81689,0.55296,0.00312,0.2418,0.84428,0.83832,0.88541,0.81297,0.83879,0.83356,0.87991,0.78745,0.44995,1.48926,0.58945,0.00372,0,0.000832349,0.000832349,0.000832349
83,210.542,0.50286,0.66077,0.53444,0.00285,0.24476,0.83672,0.82423,0.89974,0.82415,0.83672,0.82423,0.89677,0.80663,0.47995,1.63336,0.60473,0.00401,0,0.000828443,0.000828443,0.000828443
84,212.928,0.50004,0.67881,0.55356,0.00275,0.24121,0.84173,0.81663,0.89816,0.83656,0.84173,0.81663,0.89813,0.80735,0.44356,1.44492,0.57935,0.00371,0,0.000824502,0.000824502,0.000824502
85,215.359,0.48859,0.68147,0.57627,0.00306,0.28405,0.82347,0.82798,0.90753,0.83578,0.82347,0.82798,0.90796,0.82375,0.47051,1.05956,0.55676,0.00381,0,0.000820525,0.000820525,0.000820525
86,217.839,0.53064,0.80254,0.54804,0.00302,0.25019,0.85529,0.83393,0.92011,0.83504,0.8551,0.81973,0.91395,0.82942,0.50338,0.90031,0.60815,0.00413,0,0.000816514,0.000816514,0.000816514
87,220.335,0.51857,0.76315,0.57819,0.00311,0.25151,0.87929,0.81298,0.93096,0.83239,0.87748,0.80909,0.93082,0.83507,0.57205,1.29233,0.67403,0.00504,0,0.000812468,0.000812468,0.000812468
88,222.786,0.49011,0.66195,0.55237,0.00286,0.27385,0.84191,0.82221,0.92167,0.8111,0.83751,0.81745,0.91781,0.81518,0.5651,1.34015,0.79947,0.00483,0,0.000808389,0.000808389,0.000808389
89,225.198,0.52731,0.70283,0.57431,0.00283,0.26337,0.86716,0.81604,0.93399,0.84057,0.8689,0.81395,0.92962,0.84201,0.50331,0.97025,0.55871,0.00412,0,0.000804277,0.000804277,0.000804277
90,227.59,0.53166,0.66849,0.56588,0.00297,0.26948,0.85128,0.84476,0.92073,0.82799,0.85128,0.84476,0.91823,0.84023,0.47613,0.70569,0.50953,0.0039,0,0.000800131,0.000800131,0.000800131
91,229.979,0.51874,0.72562,0.56185,0.003,0.28015,0.89706,0.86737,0.93636,0.85077,0.89706,0.86737,0.93396,0.84731,0.48623,0.71203,0.46818,0.00407,0,0.000795954,0.000795954,0.000795954
92,232.449,0.49712,0.68954,0.55685,0.00288,0.2465,0.8787,0.85235,0.92337,0.84262,0.8787,0.85235,0.92337,0.83567,0.46423,0.67958,0.46533,0.00391,0,0.000791744,0.000791744,0.000791744
93,234.846,0.47888,0.68183,0.52601,0.00281,0.19452,0.90986,0.81805,0.92752,0.8544,0.90986,0.81805,0.92752,0.82812,0.4967,0.64205,0.46532,0.00429,0,0.000787503,0.000787503,0.000787503
94,237.258,0.46718,0.64247,0.55381,0.00256,0.24591,0.87488,0.89749,0.94492,0.86402,0.87488,0.89749,0.94492,0.85061,0.51315,0.6586,0.49169,0.00439,0,0.000783231,0.000783231,0.000783231
95,239.666,0.4986,0.60388,0.51204,0.00271,0.24215,0.91781,0.85162,0.94541,0.87534,0.91239,0.84702,0.94012,0.84957,0.49568,0.67301,0.51026,0.00428,0,0.000778929,0.000778929,0.000778929
96,242.132,0.48728,0.69811,0.52127,0.00281,0.23941,0.89895,0.88266,0.94956,0.87416,0.89419,0.8781,0.94449,0.84737,0.5146,0.70838,0.47079,0.00446,0,0.000774596,0.000774596,0.000774596
97,244.522,0.4668,0.60141,0.50522,0.00253,0.23736,0.9271,0.83681,0.94026,0.8641,0.9271,0.83681,0.94026,0.83614,0.48708,0.7275,0.47986,0.00414,0,0.000770234,0.000770234,0.000770234
98,246.922,0.47708,0.62089,0.51083,0.00272,0.23648,0.93517,0.81382,0.94061,0.85,0.93517,0.81382,0.94061,0.851,0.5172,0.82754,0.47511,0.0043,0,0.000765843,0.000765843,0.000765843
99,249.382,0.48684,0.62417,0.48721,0.00278,0.1997,0.88551,0.84919,0.93924,0.87333,0.88551,0.84919,0.93924,0.851,0.47824,0.84648,0.44672,0.00398,0,0.000761423,0.000761423,0.000761423
100,251.85,0.45216,0.60369,0.49447,0.00247,0.23555,0.93579,0.81709,0.93427,0.86457,0.93579,0.81709,0.93427,0.85317,0.48208,0.82071,0.46776,0.00411,0,0.000756976,0.000756976,0.000756976
101,254.312,0.47324,0.71745,0.55249,0.00275,0.28081,0.91631,0.83646,0.93724,0.86277,0.91631,0.83646,0.93724,0.86255,0.49846,0.7656,0.54221,0.00434,0,0.0007525,0.0007525,0.0007525
102,256.83,0.49391,0.78841,0.51906,0.00296,0.2732,0.95037,0.83899,0.94137,0.85833,0.95037,0.83899,0.94137,0.85442,0.49854,0.77445,0.54189,0.00424,0,0.000747997,0.000747997,0.000747997
103,259.238,0.46539,0.6498,0.50143,0.00266,0.21405,0.91751,0.86957,0.94007,0.85138,0.91751,0.86957,0.94007,0.85448,0.50401,0.84878,0.5339,0.00426,0,0.000743468,0.000743468,0.000743468
104,261.675,0.47714,0.63294,0.51068,0.00283,0.25804,0.91231,0.89592,0.94365,0.85739,0.91231,0.89592,0.94365,0.83585,0.52287,0.92755,0.44465,0.00444,0,0.000738913,0.000738913,0.000738913
105,264.142,0.47365,0.64984,0.46961,0.00275,0.20125,0.94829,0.88103,0.94398,0.87859,0.94829,0.88103,0.94398,0.84936,0.45502,0.9851,0.38729,0.00394,0,0.000734332,0.000734332,0.000734332
106,266.672,0.4341,0.60919,0.48469,0.00266,0.22012,0.89345,0.87498,0.9355,0.86923,0.89345,0.87498,0.9355,0.84545,0.43224,1.02616,0.42922,0.00366,0,0.000729725,0.000729725,0.000729725
107,269.086,0.42902,0.61543,0.48592,0.00242,0.24362,0.8126,0.91409,0.93273,0.86748,0.8126,0.91409,0.93273,0.85525,0.42557,0.87865,0.4567,0.0036,0,0.000725094,0.000725094,0.000725094
108,271.489,0.44725,0.6339,0.47608,0.00257,0.19398,0.83326,0.85658,0.91733,0.8545,0.83326,0.85658,0.91733,0.83788,0.42251,0.83658,0.59548,0.00364,0,0.000720439,0.000720439,0.000720439
109,273.896,0.46046,0.60985,0.4989,0.00283,0.24641,0.89157,0.82931,0.94497,0.86642,0.89157,0.82931,0.94497,0.86504,0.48538,0.79222,0.53656,0.00422,0,0.000715761,0.000715761,0.000715761
110,276.394,0.45384,0.69541,0.44946,0.00255,0.23398,0.84567,0.90335,0.95194,0.88326,0.84567,0.90335,0.95326,0.8734,0.42063,0.92121,0.38661,0.00353,0,0.000711059,0.000711059,0.000711059
111,278.813,0.44967,0.62972,0.50589,0.00247,0.21494,0.90135,0.88288,0.9615,0.89527,0.89692,0.87812,0.96185,0.87833,0.40663,0.91931,0.38863,0.00335,0,0.000706335,0.000706335,0.000706335
112,281.217,0.44415,0.6438,0.45877,0.00265,0.21727,0.89337,0.8804,0.95535,0.9001,0.89692,0.8855,0.95696,0.8858,0.37866,0.84259,0.40539,0.0032,0,0.000701588,0.000701588,0.000701588
113,283.679,0.44341,0.58077,0.44872,0.00254,0.22482,0.91936,0.84554,0.95251,0.8874,0.91529,0.84078,0.94837,0.86994,0.41637,0.8002,0.36738,0.0035,0,0.00069682,0.00069682,0.00069682
114,286.089,0.43992,0.66133,0.45252,0.00262,0.18704,0.95565,0.81712,0.94879,0.8778,0.95565,0.81712,0.94879,0.87285,0.44052,1.01004,0.46287,0.00364,0,0.000692031,0.000692031,0.000692031
115,288.495,0.46506,0.64122,0.50996,0.00271,0.25047,0.85764,0.8534,0.94495,0.88765,0.85764,0.8534,0.94495,0.85565,0.40375,1.17016,0.56139,0.00342,0,0.000687222,0.000687222,0.000687222
116,290.905,0.43948,0.69401,0.43006,0.00256,0.19667,0.87991,0.85871,0.94541,0.88138,0.87991,0.85871,0.94541,0.86485,0.41438,1.11745,0.55502,0.00353,0,0.000682392,0.000682392,0.000682392
